"Linear static analysis of 15ft Groovik's Cube (kips,in)",,,,,,,,,,,,
,,,,,,,,,,,,
# Joint data ?,,,,,,,,,,,,
66,# number of joints,,,,,,,,,,,
#joint,x,y,z,r,units: inches,,,,,,,
65,37,41,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
66,38,42,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
67,39,43,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
68,40,44,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
69,41,45,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
70,42,46,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
71,43,47,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
72,44,48,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
73,49,50,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
74,50,51,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
75,51,52,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
76,53,54,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
77,54,55,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
78,55,56,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
79,57,58,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
80,58,59,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
81,59,60,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
82,61,62,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
83,62,63,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
84,63,64,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
85,49,53,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
86,50,54,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
87,51,55,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
88,52,56,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
